song,mood,max_intensity,min_intensity,mean_intensity,median_intensity,max_pitch,min_pitch,mean_pitch,median_pitch,max_timbre,min_timbre,mean_timbre,median_timbre,max_time,min_time,mean_time,median_time
aggressive.36,aggressive,-15.627279757362231,-71.5645840537888,-36.57468582063297,-35.7427995975541,1.0,0.11479129684289668,0.5489957220707964,0.5222288583586414,196.66196278859948,-599.285178790169,-7.428762236801348,0.010041405421048345,0.6269387755102045,0.34829931972789113,0.4988354663899458,0.48761904761904784
aggressive.37,aggressive,-17.908298087956705,-65.25933655739813,-37.338550927652626,-36.428698542517814,1.0,0.12951191853289656,0.5090392249240596,0.5057992035484742,178.2270940650207,-534.1712025600755,-7.874089921163511,0.011173248085418006,0.5804988662131523,0.3831292517006803,0.5476039304610733,0.5456689342403642
aggressive.38,aggressive,-11.012176920198927,-65.91616892924553,-36.59837659139898,-36.480363230471085,1.0,0.1325957849414933,0.48235837965863293,0.4370054855630941,209.69601227174363,-527.3820559047241,-8.112895837822172,-0.0030879234485258816,0.4992290249433111,0.08126984126984127,0.4328131252501,0.4411791383219956
aggressive.39,aggressive,-22.230971542257297,-89.30924685995404,-39.37227015573034,-38.55835693216558,1.0,0.03643779346111238,0.4727139847946394,0.4211535705615901,191.19775009558765,-539.4985787690757,-6.7177708086062955,0.017701985541949947,0.4411791383219956,0.2089795918367347,0.41070294784580497,0.4179591836734682
aggressive.40,aggressive,-15.945251293695312,-60.220009761140304,-37.74805534417334,-36.715008952346096,1.0,0.09433647028388055,0.3970659603316951,0.3089813667228598,205.72011948152718,-490.41719237335093,-6.2091491886992225,0.004515215683211001,0.6037188208616779,0.058049886621315196,0.5278393262066732,0.5340589569161001
aggressive.41,aggressive,-18.14481496866134,-67.3734098629494,-39.772600790695755,-39.19008205471616,1.0,0.12480172757419207,0.4663714347590693,0.4235386650345637,194.20878422991223,-556.3647758646875,-7.374289540586449,0.006447311631936289,0.4527891156462598,0.301859410430839,0.42973742153866373,0.42956916099773323
aggressive.42,aggressive,-16.49237032141111,-60.890824574787736,-34.79903981317655,-34.63078085251645,1.0,0.14424798666467767,0.5455384746721934,0.5375833883725926,191.21274783458148,-500.3996290901266,-6.698512664171722,0.007578718488119292,0.5572789115646266,0.33668934240362813,0.446456400742115,0.452789115646258
aggressive.43,aggressive,-17.689545940219105,-54.920586820873105,-36.59939794318653,-35.874349910663994,1.0,0.22929900187743413,0.5988756461116841,0.5799233859251327,207.8093816745518,-515.114353104766,-6.677197130176468,0.008134622714899117,0.48761904761904873,0.33668934240362813,0.4622222222222222,0.46439909297052173
aggressive.44,aggressive,-12.581618427009802,-63.4676949720924,-31.206096640415673,-29.97194115935988,1.0,0.17147564145947597,0.5482768195389531,0.5083537402179872,210.02803988123642,-442.47645772684933,-7.014173720318119,-0.0003166692824011943,0.45278911564626156,0.09287981859410431,0.4226031746031746,0.4295691609977324
aggressive.45,aggressive,-20.582143067101974,-73.72650888873787,-40.95314215621314,-40.26753247076235,1.0,0.17344462885479914,0.5680046829887121,0.5481148509367295,208.25952943414615,-598.2421775230256,-6.9230259000313765,0.018758652151607814,0.46439909297052395,0.19736961451247165,0.4490950319521748,0.452789115646258
aggressive.46,aggressive,-16.704729179751993,-62.10874808719679,-36.19695242640732,-35.84748296395638,1.0,0.11733207208338142,0.5163910422861174,0.49046691444144935,200.29938742476244,-513.1327767689481,-6.952330454720758,0.005345288693596963,0.4527891156462589,0.34829931972789113,0.4343497398959584,0.44117913832199296
aggressive.47,aggressive,-13.637143262899373,-90.66184378835347,-37.58568034044199,-34.95833624726308,1.0,0.08290220832836571,0.5063441796115494,0.517111879060769,205.32169595322364,-662.4361609190995,-7.6798248153869215,-0.002560420864761467,0.68498866213152,0.13931972789115646,0.5072359058565955,0.5108390022675735
aggressive.48,aggressive,-20.44044319423904,-79.44530887237948,-41.141861636561956,-40.19719885907804,1.0,0.1275676712999373,0.5095684920415618,0.49107080732917757,211.9390075941778,-564.3756950737722,-6.981170444294947,0.015700980937233724,0.5456689342403642,0.2089795918367347,0.48305118768819005,0.48761904761904773
aggressive.49,aggressive,-18.1721761050594,-85.20155767603347,-37.21136607974073,-34.66949649688168,1.0,0.07450315996902467,0.484061973900632,0.4593993392606083,217.76956861343078,-555.26974290036,-7.88741006926834,-0.002957434447037655,0.6385487528344669,0.2786394557823129,0.5564026868609079,0.5688888888888872
aggressive.50,aggressive,-16.687270626929063,-67.50706383303161,-36.811180727821494,-35.88363737821205,1.0,0.11358158453837518,0.599371587416053,0.5998580122428967,201.87717726445916,-516.0652447829619,-7.561813583049608,0.0038261004686355677,0.4643990929705204,0.12770975056689343,0.41746862125131734,0.41795918367347085
